	Dataset	Detection threshold	Handle	LM_Group_COLOR	Platform_Category	Platform_Colour	Platform_Symbol	chip_id	dataset_name	description	display_metadata	final_cell_type	generic_sample_type	labelling	name	number of samples	organism	parental_cell_type	platform	project	replicate_group_id	sample types	sample_type	Feeder	Day	sex	species	K Means	Year
7061_GSM1948994	7061	0.2		conventional	RNASeq	"rgb(0,146,146)"	cross	GSM1948994	Daneshvar	"Long noncoding RNAs (lncRNAs) exhibit diverse functions, including regulation of development. Here, we combine genome-wide mapping of SMAD3 occupancy with expression analysis to identify lncRNAs induced by activin signaling during endoderm differentiation of human embryonic stem cells (hESCs). We find that DIGIT is divergent to Goosecoid (GSC) and expressed during endoderm differentiation. Deletion of the SMAD3-occupied enhancer proximal to DIGIT inhibits DIGIT and GSC expression and definitive endoderm differentiation. Disruption of the gene encoding DIGIT and depletion of the DIGIT transcript reveal that DIGIT is required for definitive endoderm differentiation. In addition, we identify the mouse ortholog of DIGIT and show that it is expressed during development and promotes definitive endoderm differentiation of mouse ESCs. DIGIT regulates GSC in trans, and activation of endogenous GSC expression is sufficient to rescue definitive endoderm differentiation in DIGIT-deficient hESCs. Our study defines DIGIT as a conserved noncoding developmental regulator of definitive endoderm. Abstract from Cell Rep. 2016 Oct 4;17(2):353-365. doi: 10.1016/j.celrep.2016.09.017."	ESC		ESC	biotin	Daneshvar	12	Homo sapiens	embryonic stem cell	RNASeq (Illumina HiSeq 2000)		"DIGIT KO hESC KO1 cultured in mTESR1, replicate 1"	"ESC DIGIT+/+, DIGIT-/-, Endoderm day 4, DIGIT -/- Endoderm day 4"	DIGIT-/-				Homo sapiens	0	
7061_GSM1948995	7061	0.2		conventional	RNASeq	"rgb(0,146,146)"	cross	GSM1948995	Daneshvar	"Long noncoding RNAs (lncRNAs) exhibit diverse functions, including regulation of development. Here, we combine genome-wide mapping of SMAD3 occupancy with expression analysis to identify lncRNAs induced by activin signaling during endoderm differentiation of human embryonic stem cells (hESCs). We find that DIGIT is divergent to Goosecoid (GSC) and expressed during endoderm differentiation. Deletion of the SMAD3-occupied enhancer proximal to DIGIT inhibits DIGIT and GSC expression and definitive endoderm differentiation. Disruption of the gene encoding DIGIT and depletion of the DIGIT transcript reveal that DIGIT is required for definitive endoderm differentiation. In addition, we identify the mouse ortholog of DIGIT and show that it is expressed during development and promotes definitive endoderm differentiation of mouse ESCs. DIGIT regulates GSC in trans, and activation of endogenous GSC expression is sufficient to rescue definitive endoderm differentiation in DIGIT-deficient hESCs. Our study defines DIGIT as a conserved noncoding developmental regulator of definitive endoderm. Abstract from Cell Rep. 2016 Oct 4;17(2):353-365. doi: 10.1016/j.celrep.2016.09.017."	ESC		ESC	biotin	Daneshvar	12	Homo sapiens	embryonic stem cell	RNASeq (Illumina HiSeq 2000)		"DIGIT KO hESC KO1 cultured in mTESR1, replicate 2"	"ESC DIGIT+/+, DIGIT-/-, Endoderm day 4, DIGIT -/- Endoderm day 4"	DIGIT-/-				Homo sapiens	0	
7061_GSM1948996	7061	0.2		conventional	RNASeq	"rgb(0,146,146)"	cross	GSM1948996	Daneshvar	"Long noncoding RNAs (lncRNAs) exhibit diverse functions, including regulation of development. Here, we combine genome-wide mapping of SMAD3 occupancy with expression analysis to identify lncRNAs induced by activin signaling during endoderm differentiation of human embryonic stem cells (hESCs). We find that DIGIT is divergent to Goosecoid (GSC) and expressed during endoderm differentiation. Deletion of the SMAD3-occupied enhancer proximal to DIGIT inhibits DIGIT and GSC expression and definitive endoderm differentiation. Disruption of the gene encoding DIGIT and depletion of the DIGIT transcript reveal that DIGIT is required for definitive endoderm differentiation. In addition, we identify the mouse ortholog of DIGIT and show that it is expressed during development and promotes definitive endoderm differentiation of mouse ESCs. DIGIT regulates GSC in trans, and activation of endogenous GSC expression is sufficient to rescue definitive endoderm differentiation in DIGIT-deficient hESCs. Our study defines DIGIT as a conserved noncoding developmental regulator of definitive endoderm. Abstract from Cell Rep. 2016 Oct 4;17(2):353-365. doi: 10.1016/j.celrep.2016.09.017."	ESC		ESC	biotin	Daneshvar	12	Homo sapiens	embryonic stem cell	RNASeq (Illumina HiSeq 2000)		"DIGIT KO hESC KO2 cultured in mTESR1, replicate 1"	"ESC DIGIT+/+, DIGIT-/-, Endoderm day 4, DIGIT -/- Endoderm day 4"	DIGIT-/-				Homo sapiens	0	
7061_GSM1948997	7061	0.2		conventional	RNASeq	"rgb(0,146,146)"	cross	GSM1948997	Daneshvar	"Long noncoding RNAs (lncRNAs) exhibit diverse functions, including regulation of development. Here, we combine genome-wide mapping of SMAD3 occupancy with expression analysis to identify lncRNAs induced by activin signaling during endoderm differentiation of human embryonic stem cells (hESCs). We find that DIGIT is divergent to Goosecoid (GSC) and expressed during endoderm differentiation. Deletion of the SMAD3-occupied enhancer proximal to DIGIT inhibits DIGIT and GSC expression and definitive endoderm differentiation. Disruption of the gene encoding DIGIT and depletion of the DIGIT transcript reveal that DIGIT is required for definitive endoderm differentiation. In addition, we identify the mouse ortholog of DIGIT and show that it is expressed during development and promotes definitive endoderm differentiation of mouse ESCs. DIGIT regulates GSC in trans, and activation of endogenous GSC expression is sufficient to rescue definitive endoderm differentiation in DIGIT-deficient hESCs. Our study defines DIGIT as a conserved noncoding developmental regulator of definitive endoderm. Abstract from Cell Rep. 2016 Oct 4;17(2):353-365. doi: 10.1016/j.celrep.2016.09.017."	ESC		ESC	biotin	Daneshvar	12	Homo sapiens	embryonic stem cell	RNASeq (Illumina HiSeq 2000)		"DIGIT KO hESC KO2 cultured in mTESR1, replicate 2"	"ESC DIGIT+/+, DIGIT-/-, Endoderm day 4, DIGIT -/- Endoderm day 4"	DIGIT-/-				Homo sapiens	0	
7061_GSM1948998	7061	0.2		differentiated	RNASeq	"rgb(0,146,146)"	cross	GSM1948998	Daneshvar	"Long noncoding RNAs (lncRNAs) exhibit diverse functions, including regulation of development. Here, we combine genome-wide mapping of SMAD3 occupancy with expression analysis to identify lncRNAs induced by activin signaling during endoderm differentiation of human embryonic stem cells (hESCs). We find that DIGIT is divergent to Goosecoid (GSC) and expressed during endoderm differentiation. Deletion of the SMAD3-occupied enhancer proximal to DIGIT inhibits DIGIT and GSC expression and definitive endoderm differentiation. Disruption of the gene encoding DIGIT and depletion of the DIGIT transcript reveal that DIGIT is required for definitive endoderm differentiation. In addition, we identify the mouse ortholog of DIGIT and show that it is expressed during development and promotes definitive endoderm differentiation of mouse ESCs. DIGIT regulates GSC in trans, and activation of endogenous GSC expression is sufficient to rescue definitive endoderm differentiation in DIGIT-deficient hESCs. Our study defines DIGIT as a conserved noncoding developmental regulator of definitive endoderm. Abstract from Cell Rep. 2016 Oct 4;17(2):353-365. doi: 10.1016/j.celrep.2016.09.017."	endoderm	endoderm	endoderm	biotin	Daneshvar	12	Homo sapiens	embryonic stem cell	RNASeq (Illumina HiSeq 2000)		"H1 hESC Wild Type H1 hESC differentiated towards endoderm for 4 days, replicate 1"	"ESC DIGIT+/+, DIGIT-/-, Endoderm day 4, DIGIT -/- Endoderm day 4"	Endoderm day 4		4		Homo sapiens	0	
7061_GSM1948999	7061	0.2		differentiated	RNASeq	"rgb(0,146,146)"	cross	GSM1948999	Daneshvar	"Long noncoding RNAs (lncRNAs) exhibit diverse functions, including regulation of development. Here, we combine genome-wide mapping of SMAD3 occupancy with expression analysis to identify lncRNAs induced by activin signaling during endoderm differentiation of human embryonic stem cells (hESCs). We find that DIGIT is divergent to Goosecoid (GSC) and expressed during endoderm differentiation. Deletion of the SMAD3-occupied enhancer proximal to DIGIT inhibits DIGIT and GSC expression and definitive endoderm differentiation. Disruption of the gene encoding DIGIT and depletion of the DIGIT transcript reveal that DIGIT is required for definitive endoderm differentiation. In addition, we identify the mouse ortholog of DIGIT and show that it is expressed during development and promotes definitive endoderm differentiation of mouse ESCs. DIGIT regulates GSC in trans, and activation of endogenous GSC expression is sufficient to rescue definitive endoderm differentiation in DIGIT-deficient hESCs. Our study defines DIGIT as a conserved noncoding developmental regulator of definitive endoderm. Abstract from Cell Rep. 2016 Oct 4;17(2):353-365. doi: 10.1016/j.celrep.2016.09.017."	endoderm	endoderm	endoderm	biotin	Daneshvar	12	Homo sapiens	embryonic stem cell	RNASeq (Illumina HiSeq 2000)		"H1 hESC Wild Type H1 hESC differentiated towards endoderm for 4 days, replicate 2"	"ESC DIGIT+/+, DIGIT-/-, Endoderm day 4, DIGIT -/- Endoderm day 4"	Endoderm day 4		4		Homo sapiens	0	
7061_GSM1949000	7061	0.2		differentiated	RNASeq	"rgb(0,146,146)"	cross	GSM1949000	Daneshvar	"Long noncoding RNAs (lncRNAs) exhibit diverse functions, including regulation of development. Here, we combine genome-wide mapping of SMAD3 occupancy with expression analysis to identify lncRNAs induced by activin signaling during endoderm differentiation of human embryonic stem cells (hESCs). We find that DIGIT is divergent to Goosecoid (GSC) and expressed during endoderm differentiation. Deletion of the SMAD3-occupied enhancer proximal to DIGIT inhibits DIGIT and GSC expression and definitive endoderm differentiation. Disruption of the gene encoding DIGIT and depletion of the DIGIT transcript reveal that DIGIT is required for definitive endoderm differentiation. In addition, we identify the mouse ortholog of DIGIT and show that it is expressed during development and promotes definitive endoderm differentiation of mouse ESCs. DIGIT regulates GSC in trans, and activation of endogenous GSC expression is sufficient to rescue definitive endoderm differentiation in DIGIT-deficient hESCs. Our study defines DIGIT as a conserved noncoding developmental regulator of definitive endoderm. Abstract from Cell Rep. 2016 Oct 4;17(2):353-365. doi: 10.1016/j.celrep.2016.09.017."	endoderm	endoderm	endoderm	biotin	Daneshvar	12	Homo sapiens	embryonic stem cell	RNASeq (Illumina HiSeq 2000)		"DIGIT KO hESC KO1 DIGIT KO hESC differentiated towards endoderm for 4 days, replicate 1"	"ESC DIGIT+/+, DIGIT-/-, Endoderm day 4, DIGIT -/- Endoderm day 4"	DIGIT -/- Endoderm day 4		4		Homo sapiens	0	
7061_GSM1949001	7061	0.2		differentiated	RNASeq	"rgb(0,146,146)"	cross	GSM1949001	Daneshvar	"Long noncoding RNAs (lncRNAs) exhibit diverse functions, including regulation of development. Here, we combine genome-wide mapping of SMAD3 occupancy with expression analysis to identify lncRNAs induced by activin signaling during endoderm differentiation of human embryonic stem cells (hESCs). We find that DIGIT is divergent to Goosecoid (GSC) and expressed during endoderm differentiation. Deletion of the SMAD3-occupied enhancer proximal to DIGIT inhibits DIGIT and GSC expression and definitive endoderm differentiation. Disruption of the gene encoding DIGIT and depletion of the DIGIT transcript reveal that DIGIT is required for definitive endoderm differentiation. In addition, we identify the mouse ortholog of DIGIT and show that it is expressed during development and promotes definitive endoderm differentiation of mouse ESCs. DIGIT regulates GSC in trans, and activation of endogenous GSC expression is sufficient to rescue definitive endoderm differentiation in DIGIT-deficient hESCs. Our study defines DIGIT as a conserved noncoding developmental regulator of definitive endoderm. Abstract from Cell Rep. 2016 Oct 4;17(2):353-365. doi: 10.1016/j.celrep.2016.09.017."	endoderm	endoderm	endoderm	biotin	Daneshvar	12	Homo sapiens	embryonic stem cell	RNASeq (Illumina HiSeq 2000)		"DIGIT KO hESC KO1 DIGIT KO hESC differentiated towards endoderm for 4 days, replicate 2"	"ESC DIGIT+/+, DIGIT-/-, Endoderm day 4, DIGIT -/- Endoderm day 4"	DIGIT -/- Endoderm day 4		4		Homo sapiens	0	
7061_GSM1949002	7061	0.2		differentiated	RNASeq	"rgb(0,146,146)"	cross	GSM1949002	Daneshvar	"Long noncoding RNAs (lncRNAs) exhibit diverse functions, including regulation of development. Here, we combine genome-wide mapping of SMAD3 occupancy with expression analysis to identify lncRNAs induced by activin signaling during endoderm differentiation of human embryonic stem cells (hESCs). We find that DIGIT is divergent to Goosecoid (GSC) and expressed during endoderm differentiation. Deletion of the SMAD3-occupied enhancer proximal to DIGIT inhibits DIGIT and GSC expression and definitive endoderm differentiation. Disruption of the gene encoding DIGIT and depletion of the DIGIT transcript reveal that DIGIT is required for definitive endoderm differentiation. In addition, we identify the mouse ortholog of DIGIT and show that it is expressed during development and promotes definitive endoderm differentiation of mouse ESCs. DIGIT regulates GSC in trans, and activation of endogenous GSC expression is sufficient to rescue definitive endoderm differentiation in DIGIT-deficient hESCs. Our study defines DIGIT as a conserved noncoding developmental regulator of definitive endoderm. Abstract from Cell Rep. 2016 Oct 4;17(2):353-365. doi: 10.1016/j.celrep.2016.09.017."	endoderm	endoderm	endoderm	biotin	Daneshvar	12	Homo sapiens	embryonic stem cell	RNASeq (Illumina HiSeq 2000)		"DIGIT KO hESC KO2 DIGIT KO hESC differentiated towards endoderm for 4 days, replicate 1"	"ESC DIGIT+/+, DIGIT-/-, Endoderm day 4, DIGIT -/- Endoderm day 4"	DIGIT -/- Endoderm day 4		4		Homo sapiens	0	
7061_GSM1949003	7061	0.2		differentiated	RNASeq	"rgb(0,146,146)"	cross	GSM1949003	Daneshvar	"Long noncoding RNAs (lncRNAs) exhibit diverse functions, including regulation of development. Here, we combine genome-wide mapping of SMAD3 occupancy with expression analysis to identify lncRNAs induced by activin signaling during endoderm differentiation of human embryonic stem cells (hESCs). We find that DIGIT is divergent to Goosecoid (GSC) and expressed during endoderm differentiation. Deletion of the SMAD3-occupied enhancer proximal to DIGIT inhibits DIGIT and GSC expression and definitive endoderm differentiation. Disruption of the gene encoding DIGIT and depletion of the DIGIT transcript reveal that DIGIT is required for definitive endoderm differentiation. In addition, we identify the mouse ortholog of DIGIT and show that it is expressed during development and promotes definitive endoderm differentiation of mouse ESCs. DIGIT regulates GSC in trans, and activation of endogenous GSC expression is sufficient to rescue definitive endoderm differentiation in DIGIT-deficient hESCs. Our study defines DIGIT as a conserved noncoding developmental regulator of definitive endoderm. Abstract from Cell Rep. 2016 Oct 4;17(2):353-365. doi: 10.1016/j.celrep.2016.09.017."	endoderm	endoderm	endoderm	biotin	Daneshvar	12	Homo sapiens	embryonic stem cell	RNASeq (Illumina HiSeq 2000)		"DIGIT KO hESC KO2 DIGIT KO hESC differentiated towards endoderm for 4 days, replicate 2"	"ESC DIGIT+/+, DIGIT-/-, Endoderm day 4, DIGIT -/- Endoderm day 4"	DIGIT -/- Endoderm day 4		4		Homo sapiens	0	
6855_GSM1968910	6855	0.2		conventional	RNASeq	"rgb(0,146,146)"	cross	GSM1968910	Nayler	"Ataxia-telangiectasia (A-T) is a rare genetic disorder caused by loss of function of the ataxia-telangiectasia-mutated kinase and is characterized by a predisposition to cancer, pulmonary disease, immune deficiency and progressive degeneration of the cerebellum. As animal models do not faithfully recapitulate the neurological aspects, it remains unclear whether cerebellar degeneration is a neurodevelopmental or neurodegenerative phenotype. To address the necessity for a human model, we first assessed a previously published protocol for the ability to generate cerebellar neuronal cells, finding it gave rise to a population of precursors highly enriched for markers of the early hindbrain such as EN1 and GBX2, and later more mature cerebellar markers including PTF1α, MATH1, HOXB4, ZIC3, PAX6, and TUJ1. RNA sequencing was used to classify differentiated cerebellar neurons generated from integration-free A-T and control induced pluripotent stem cells. Comparison of RNA sequencing data with datasets from the Allen Brain Atlas reveals in vitro-derived cerebellar neurons are transcriptionally similar to discrete regions of the human cerebellum, and most closely resemble the cerebellum at 22 weeks post-conception. We show that patient-derived cerebellar neurons exhibit disrupted gene regulatory networks associated with synaptic vesicle dynamics and oxidative stress, offering the first molecular insights into early cerebellar pathogenesis of ataxia-telangiectasia. Abstract from Front Cell Neurosci. 2017 Oct 13;11:321. doi: 10.3389/fncel.2017.00321."	C11 iPSC control line		C11 iPSC control line		Nayler	12	Homo sapiens		RNASeq (Illumina HiSeq 2500 RNASeq hg19 Gene)		C11d0_1	"C11 iPSC control line, Day 34 neural differentiation C11 control line, AT30 A-T iPSC line, Day 34 neural differentiation AT30"	C11 iPSC control line		0		Homo sapiens	0	
6855_GSM1968911	6855	0.2		conventional	RNASeq	"rgb(0,146,146)"	cross	GSM1968911	Nayler	"Ataxia-telangiectasia (A-T) is a rare genetic disorder caused by loss of function of the ataxia-telangiectasia-mutated kinase and is characterized by a predisposition to cancer, pulmonary disease, immune deficiency and progressive degeneration of the cerebellum. As animal models do not faithfully recapitulate the neurological aspects, it remains unclear whether cerebellar degeneration is a neurodevelopmental or neurodegenerative phenotype. To address the necessity for a human model, we first assessed a previously published protocol for the ability to generate cerebellar neuronal cells, finding it gave rise to a population of precursors highly enriched for markers of the early hindbrain such as EN1 and GBX2, and later more mature cerebellar markers including PTF1α, MATH1, HOXB4, ZIC3, PAX6, and TUJ1. RNA sequencing was used to classify differentiated cerebellar neurons generated from integration-free A-T and control induced pluripotent stem cells. Comparison of RNA sequencing data with datasets from the Allen Brain Atlas reveals in vitro-derived cerebellar neurons are transcriptionally similar to discrete regions of the human cerebellum, and most closely resemble the cerebellum at 22 weeks post-conception. We show that patient-derived cerebellar neurons exhibit disrupted gene regulatory networks associated with synaptic vesicle dynamics and oxidative stress, offering the first molecular insights into early cerebellar pathogenesis of ataxia-telangiectasia. Abstract from Front Cell Neurosci. 2017 Oct 13;11:321. doi: 10.3389/fncel.2017.00321."	C11 iPSC control line		C11 iPSC control line		Nayler	12	Homo sapiens		RNASeq (Illumina HiSeq 2500 RNASeq hg19 Gene)		C11d0_2	"C11 iPSC control line, Day 34 neural differentiation C11 control line, AT30 A-T iPSC line, Day 34 neural differentiation AT30"	C11 iPSC control line		0		Homo sapiens	0	
6855_GSM1968912	6855	0.2		conventional	RNASeq	"rgb(0,146,146)"	cross	GSM1968912	Nayler	"Ataxia-telangiectasia (A-T) is a rare genetic disorder caused by loss of function of the ataxia-telangiectasia-mutated kinase and is characterized by a predisposition to cancer, pulmonary disease, immune deficiency and progressive degeneration of the cerebellum. As animal models do not faithfully recapitulate the neurological aspects, it remains unclear whether cerebellar degeneration is a neurodevelopmental or neurodegenerative phenotype. To address the necessity for a human model, we first assessed a previously published protocol for the ability to generate cerebellar neuronal cells, finding it gave rise to a population of precursors highly enriched for markers of the early hindbrain such as EN1 and GBX2, and later more mature cerebellar markers including PTF1α, MATH1, HOXB4, ZIC3, PAX6, and TUJ1. RNA sequencing was used to classify differentiated cerebellar neurons generated from integration-free A-T and control induced pluripotent stem cells. Comparison of RNA sequencing data with datasets from the Allen Brain Atlas reveals in vitro-derived cerebellar neurons are transcriptionally similar to discrete regions of the human cerebellum, and most closely resemble the cerebellum at 22 weeks post-conception. We show that patient-derived cerebellar neurons exhibit disrupted gene regulatory networks associated with synaptic vesicle dynamics and oxidative stress, offering the first molecular insights into early cerebellar pathogenesis of ataxia-telangiectasia. Abstract from Front Cell Neurosci. 2017 Oct 13;11:321. doi: 10.3389/fncel.2017.00321."	C11 iPSC control line		C11 iPSC control line		Nayler	12	Homo sapiens		RNASeq (Illumina HiSeq 2500 RNASeq hg19 Gene)		C11d0_3	"C11 iPSC control line, Day 34 neural differentiation C11 control line, AT30 A-T iPSC line, Day 34 neural differentiation AT30"	C11 iPSC control line		0		Homo sapiens	0	
6855_GSM1968916	6855	0.2		Unannotated	RNASeq	"rgb(0,146,146)"	cross	GSM1968916	Nayler	"Ataxia-telangiectasia (A-T) is a rare genetic disorder caused by loss of function of the ataxia-telangiectasia-mutated kinase and is characterized by a predisposition to cancer, pulmonary disease, immune deficiency and progressive degeneration of the cerebellum. As animal models do not faithfully recapitulate the neurological aspects, it remains unclear whether cerebellar degeneration is a neurodevelopmental or neurodegenerative phenotype. To address the necessity for a human model, we first assessed a previously published protocol for the ability to generate cerebellar neuronal cells, finding it gave rise to a population of precursors highly enriched for markers of the early hindbrain such as EN1 and GBX2, and later more mature cerebellar markers including PTF1α, MATH1, HOXB4, ZIC3, PAX6, and TUJ1. RNA sequencing was used to classify differentiated cerebellar neurons generated from integration-free A-T and control induced pluripotent stem cells. Comparison of RNA sequencing data with datasets from the Allen Brain Atlas reveals in vitro-derived cerebellar neurons are transcriptionally similar to discrete regions of the human cerebellum, and most closely resemble the cerebellum at 22 weeks post-conception. We show that patient-derived cerebellar neurons exhibit disrupted gene regulatory networks associated with synaptic vesicle dynamics and oxidative stress, offering the first molecular insights into early cerebellar pathogenesis of ataxia-telangiectasia. Abstract from Front Cell Neurosci. 2017 Oct 13;11:321. doi: 10.3389/fncel.2017.00321."	AT30 A-T iPSC line		AT30 A-T iPSC line		Nayler	12	Homo sapiens		RNASeq (Illumina HiSeq 2500 RNASeq hg19 Gene)		MC3d0_1	"C11 iPSC control line, Day 34 neural differentiation C11 control line, AT30 A-T iPSC line, Day 34 neural differentiation AT30"	AT30 A-T iPSC line		0		Homo sapiens	0	
6855_GSM1968917	6855	0.2		Unannotated	RNASeq	"rgb(0,146,146)"	cross	GSM1968917	Nayler	"Ataxia-telangiectasia (A-T) is a rare genetic disorder caused by loss of function of the ataxia-telangiectasia-mutated kinase and is characterized by a predisposition to cancer, pulmonary disease, immune deficiency and progressive degeneration of the cerebellum. As animal models do not faithfully recapitulate the neurological aspects, it remains unclear whether cerebellar degeneration is a neurodevelopmental or neurodegenerative phenotype. To address the necessity for a human model, we first assessed a previously published protocol for the ability to generate cerebellar neuronal cells, finding it gave rise to a population of precursors highly enriched for markers of the early hindbrain such as EN1 and GBX2, and later more mature cerebellar markers including PTF1α, MATH1, HOXB4, ZIC3, PAX6, and TUJ1. RNA sequencing was used to classify differentiated cerebellar neurons generated from integration-free A-T and control induced pluripotent stem cells. Comparison of RNA sequencing data with datasets from the Allen Brain Atlas reveals in vitro-derived cerebellar neurons are transcriptionally similar to discrete regions of the human cerebellum, and most closely resemble the cerebellum at 22 weeks post-conception. We show that patient-derived cerebellar neurons exhibit disrupted gene regulatory networks associated with synaptic vesicle dynamics and oxidative stress, offering the first molecular insights into early cerebellar pathogenesis of ataxia-telangiectasia. Abstract from Front Cell Neurosci. 2017 Oct 13;11:321. doi: 10.3389/fncel.2017.00321."	AT30 A-T iPSC line		AT30 A-T iPSC line		Nayler	12	Homo sapiens		RNASeq (Illumina HiSeq 2500 RNASeq hg19 Gene)		MC3d0_2	"C11 iPSC control line, Day 34 neural differentiation C11 control line, AT30 A-T iPSC line, Day 34 neural differentiation AT30"	AT30 A-T iPSC line		0		Homo sapiens	0	
6855_GSM1968918	6855	0.2		Unannotated	RNASeq	"rgb(0,146,146)"	cross	GSM1968918	Nayler	"Ataxia-telangiectasia (A-T) is a rare genetic disorder caused by loss of function of the ataxia-telangiectasia-mutated kinase and is characterized by a predisposition to cancer, pulmonary disease, immune deficiency and progressive degeneration of the cerebellum. As animal models do not faithfully recapitulate the neurological aspects, it remains unclear whether cerebellar degeneration is a neurodevelopmental or neurodegenerative phenotype. To address the necessity for a human model, we first assessed a previously published protocol for the ability to generate cerebellar neuronal cells, finding it gave rise to a population of precursors highly enriched for markers of the early hindbrain such as EN1 and GBX2, and later more mature cerebellar markers including PTF1α, MATH1, HOXB4, ZIC3, PAX6, and TUJ1. RNA sequencing was used to classify differentiated cerebellar neurons generated from integration-free A-T and control induced pluripotent stem cells. Comparison of RNA sequencing data with datasets from the Allen Brain Atlas reveals in vitro-derived cerebellar neurons are transcriptionally similar to discrete regions of the human cerebellum, and most closely resemble the cerebellum at 22 weeks post-conception. We show that patient-derived cerebellar neurons exhibit disrupted gene regulatory networks associated with synaptic vesicle dynamics and oxidative stress, offering the first molecular insights into early cerebellar pathogenesis of ataxia-telangiectasia. Abstract from Front Cell Neurosci. 2017 Oct 13;11:321. doi: 10.3389/fncel.2017.00321."	AT30 A-T iPSC line		AT30 A-T iPSC line		Nayler	12	Homo sapiens		RNASeq (Illumina HiSeq 2500 RNASeq hg19 Gene)		MC3d0_3	"C11 iPSC control line, Day 34 neural differentiation C11 control line, AT30 A-T iPSC line, Day 34 neural differentiation AT30"	AT30 A-T iPSC line		0		Homo sapiens	0	
7277_GSM2067542	7277	3.73	Pandya_2017_28253233_b	conventional	HuGene	"rgb(0,109,219)"	diamond-open	GSM2067542	Pandya	"Microglia are the resident inflammatory cells of the central nervous system (CNS) and have important roles in development, homeostasis and a variety of neurologic and psychiatric diseases. Difficulties in procuring human microglia have limited their study and hampered the clinical translation of microglia-based treatments shown to be effective in animal disease models. Here, we report the differentiation of human induced pluripotent stem cells (iPSC) into microglia-like cells by exposure to defined factors and co-culture with astrocytes. These iPSC-derived microglia (iPS-MG) have the phenotype, gene expression profile and functional properties of brain-isolated microglia. Murine iPS-MG generated using a similar protocol have equivalent efficacy to primary brain-isolated microglia in the treatment of murine syngeneic intracranial malignant gliomas. The ability to generate human microglia facilitates the further study of this important CNS cell type and raises the possibility of their use in personalized medicine applications. Abstract from Nat Neurosci. 2017 May;20(5):753-759. doi: 10.1038/nn.4534."	pluripotent	induced pluripotent stem cell	pluripotent		Pandya	21	Homo sapiens	peripheral blood mononuclear cell	Microarray (Affymetrix HuGene-2_0-ST V1)		NCRM-5 Replicate 1	"iPSC, iPSC-derived MG, MG, DC, macrophage"	iPSC				Homo sapiens	0	2017
7277_GSM2067543	7277	3.73	Pandya_2017_28253233_b	conventional	HuGene	"rgb(0,109,219)"	diamond-open	GSM2067543	Pandya	"Microglia are the resident inflammatory cells of the central nervous system (CNS) and have important roles in development, homeostasis and a variety of neurologic and psychiatric diseases. Difficulties in procuring human microglia have limited their study and hampered the clinical translation of microglia-based treatments shown to be effective in animal disease models. Here, we report the differentiation of human induced pluripotent stem cells (iPSC) into microglia-like cells by exposure to defined factors and co-culture with astrocytes. These iPSC-derived microglia (iPS-MG) have the phenotype, gene expression profile and functional properties of brain-isolated microglia. Murine iPS-MG generated using a similar protocol have equivalent efficacy to primary brain-isolated microglia in the treatment of murine syngeneic intracranial malignant gliomas. The ability to generate human microglia facilitates the further study of this important CNS cell type and raises the possibility of their use in personalized medicine applications. Abstract from Nat Neurosci. 2017 May;20(5):753-759. doi: 10.1038/nn.4534."	pluripotent	induced pluripotent stem cell	pluripotent		Pandya	21	Homo sapiens	peripheral blood mononuclear cell	Microarray (Affymetrix HuGene-2_0-ST V1)		NCRM-5 Replicate 2	"iPSC, iPSC-derived MG, MG, DC, macrophage"	iPSC				Homo sapiens	0	2017
7277_GSM2067544	7277	3.73	Pandya_2017_28253233_b	conventional	HuGene	"rgb(0,109,219)"	diamond-open	GSM2067544	Pandya	"Microglia are the resident inflammatory cells of the central nervous system (CNS) and have important roles in development, homeostasis and a variety of neurologic and psychiatric diseases. Difficulties in procuring human microglia have limited their study and hampered the clinical translation of microglia-based treatments shown to be effective in animal disease models. Here, we report the differentiation of human induced pluripotent stem cells (iPSC) into microglia-like cells by exposure to defined factors and co-culture with astrocytes. These iPSC-derived microglia (iPS-MG) have the phenotype, gene expression profile and functional properties of brain-isolated microglia. Murine iPS-MG generated using a similar protocol have equivalent efficacy to primary brain-isolated microglia in the treatment of murine syngeneic intracranial malignant gliomas. The ability to generate human microglia facilitates the further study of this important CNS cell type and raises the possibility of their use in personalized medicine applications. Abstract from Nat Neurosci. 2017 May;20(5):753-759. doi: 10.1038/nn.4534."	pluripotent	induced pluripotent stem cell	pluripotent		Pandya	21	Homo sapiens	peripheral blood mononuclear cell	Microarray (Affymetrix HuGene-2_0-ST V1)		NCRM-5 Replicate 3	"iPSC, iPSC-derived MG, MG, DC, macrophage"	iPSC				Homo sapiens	0	2017
